,Sufficient Food,Sufficient to Drink,Safe Sanitation,Education ,Healthy Life,Gender Equality,Income Distribution,Population Growth,Good Governance,"Biodiversity 
forest area","Biodiversity 
protect. area",Renewable Water Resources,Consumption,Energy Use,Energy Savings,Greenhouse Gases,Renewable Energy,Organic Farming,Genuine Savings,GDP,Employment,Public Debt
Turkmenistan,5.0,60.4,62.7,61.3,59.8,0.7,10.7,5.2,-7.6,0.0,2.8,112.5,1.3,5.0,-0.1,12.6,0.0,0.3,10.9,17072.46,10.5,24.0
Uganda,25.5,78.9,19.0,62.8,54.0,0.7,14.2,13.9,-3.7,-0.4,24.6,1.6,1.2,0.3,0.0,0.2,83.4,1.7,3.1,2067.17,3.8,37.9
Ukraine,0.0,96.3,95.9,96.1,64.1,0.7,4.8,-1.1,-4.8,0.0,3.8,8.5,0.9,2.3,0.2,5.2,2.6,1.0,-2.7,8185.26,7.7,92.8
United Arab Emirates,5.0,99.6,97.5,62.7,68.3,0.6,8.9,4.8,4.1,0.0,10.9,1867.0,1.8,7.8,0.0,19.3,0.2,0.8,16.2,67946.49,3.6,21.2
United Kingdom,0.0,100.0,99.2,99.8,71.4,0.8,8.4,3.0,8.8,0.0,38.4,5.5,1.8,2.8,0.1,6.3,6.7,3.0,3.6,42041.28,6.3,89.1
United States,0.0,99.2,100.0,96.4,69.1,0.7,17.8,3.1,7.3,0.0,16.0,13.6,2.3,6.9,0.0,16.2,6.9,0.6,6.4,57220.20,6.2,107.5
Uruguay,5.0,99.6,96.3,89.9,67.9,0.7,16.3,1.4,5.1,0.2,3.3,2.1,1.9,1.4,-0.1,1.8,55.5,8.8,8.1,21944.30,7.0,63.0
Uzbekistan,5.0,87.3,100.0,68.0,62.4,0.7,9.8,6.7,-6.7,0.0,5.4,1.6,0.9,1.4,0.1,3.2,2.3,0.0,10.9,6359.83,10.6,16.3
Venezuela,5.0,93.1,94.4,87.8,65.2,0.7,64.3,5.7,-8.2,0.0,54.0,1.8,1.4,2.2,0.1,6.1,12.2,0.0,14.5,15251.51,8.6,36.0
Vietnam,11.0,96.4,76.3,65.8,66.6,0.7,11.6,4.4,-2.8,0.1,15.6,9.3,0.9,0.4,-0.4,1.6,30.6,0.4,15.0,6399.67,2.3,62.4
Yemen,26.1,54.9,53.3,54.8,57.7,0.5,9.1,10.7,-8.8,0.0,0.0,168.6,0.6,0.3,0.1,0.8,1.5,0.3,-11.5,2635.91,17.4,67.3
Zambia,47.8,64.6,43.7,84.9,53.7,0.7,30.4,13.0,-1.6,0.0,45.8,1.5,0.7,0.6,-0.1,0.2,89.8,0.0,3.5,3917.74,13.3,57.9
Zimbabwe,33.4,77.1,37.0,59.1,52.1,0.7,20.0,9.5,-7.8,-0.2,18.5,17.9,0.8,0.7,-0.1,0.8,70.5,0.0,5.4,2150.38,5.4,55.0
