,Sufficient Food,Sufficient to Drink,Safe Sanitation,Education ,Healthy Life,Gender Equality,Income Distribution,Population Growth,Good Governance,"Biodiversity 
forest area","Biodiversity 
protect. area",Renewable Water Resources,Consumption,Energy Use,Energy Savings,Greenhouse Gases,Renewable Energy,Organic Farming,Genuine Savings,GDP,Employment,Public Debt
Turkmenistan,5.0,60.4,62.7,61.3,57.7,0.7,12.3,4.5,-9.1,0.0,2.2,112.5,1.6,4.1,-0.2,10.2,0.1,0.2,7.9,8525.50,11.0,2.8
Uganda,23.7,66.1,17.0,65.0,47.9,0.7,14.5,14.4,-3.4,-0.3,24.1,1.2,1.4,0.4,0.0,0.1,86.0,1.9,1.7,1552.70,3.6,19.3
Ukraine,0.0,97.1,95.2,92.1,60.6,0.7,6.6,-2.7,-2.5,0.0,3.8,8.6,1.2,2.9,0.0,6.4,1.4,0.6,6.7,8816.41,6.8,19.7
United Arab Emirates,5.0,99.7,97.5,73.7,66.8,0.6,8.9,65.8,2.8,0.1,0.4,1867.0,2.5,8.9,0.2,22.2,0.1,0.1,15.5,59076.85,3.3,12.5
United Kingdom,0.0,100.0,99.2,89.1,70.0,0.7,10.6,2.8,9.1,0.0,36.8,5.0,2.2,3.6,0.0,8.8,1.9,3.4,4.9,36586.09,5.5,51.7
United States,0.0,99.0,99.9,94.1,68.2,0.7,22.1,3.8,7.7,0.0,15.7,15.2,3.0,7.7,0.0,18.7,4.8,0.4,6.8,48302.28,4.7,72.8
Uruguay,5.0,98.1,94.7,90.7,66.4,0.7,20.4,0.4,4.0,0.3,2.7,2.1,2.5,1.0,-0.3,1.8,24.7,6.4,8.6,14779.52,10.6,67.8
Uzbekistan,10.5,87.6,98.6,70.9,60.8,0.7,9.8,5.1,-8.9,0.0,4.2,1.6,0.7,1.8,0.1,4.1,1.6,0.0,7.9,3561.29,11.0,12.7
Venezuela,6.8,92.1,91.2,74.7,64.6,0.7,64.3,7.0,-6.4,0.0,54.0,1.6,1.3,2.3,0.0,5.3,12.4,0.0,19.5,17446.25,9.3,23.1
Vietnam,17.8,85.9,63.0,64.6,64.2,0.7,10.4,4.7,-3.1,0.3,13.6,9.3,0.8,0.2,0.0,1.0,39.1,0.2,16.2,3924.10,2.3,39.4
Yemen,28.5,55.7,48.8,54.9,55.5,0.5,9.1,12.0,-5.9,0.0,0.0,168.6,0.6,0.3,-0.2,0.9,1.3,0.2,-11.5,3951.41,15.7,36.4
Zambia,52.5,58.1,41.9,58.8,45.9,0.6,32.5,11.5,-2.6,0.0,45.8,1.5,0.8,0.6,0.0,0.2,91.4,0.0,3.5,2760.16,15.6,19.2
Zimbabwe,38.6,78.6,38.4,53.3,39.8,0.6,22.0,4.1,-8.8,-0.2,17.5,18.5,0.9,0.8,0.0,0.7,68.2,0.0,4.6,1284.51,5.1,68.9
