,Sufficient Food,Sufficient to Drink,Safe Sanitation,Education ,Healthy Life,Gender Equality,Income Distribution,Population Growth,Good Governance,"Biodiversity 
forest area","Biodiversity 
protect. area",Renewable Water Resources,Consumption,Energy Use,Energy Savings,Greenhouse Gases,Renewable Energy,Organic Farming,Genuine Savings,GDP,Employment,Public Debt
Uganda,24.8,72.5,18.0,66.7,51.3,0.7,15.2,14.2,-3.5,-0.3,24.6,1.6,1.3,0.3,0.0,0.1,84.9,1.6,4.8,1839.38,4.2,24.2
Ukraine,0.0,96.7,95.6,93.5,63.4,0.7,4.7,-1.7,-3.2,0.0,3.8,8.5,1.2,2.9,0.0,5.8,2.1,0.7,0.9,8516.68,8.1,37.5
United Arab Emirates,5.0,99.6,97.5,57.3,67.5,0.6,8.9,45.3,2.4,0.0,0.6,1867.0,1.8,7.4,0.2,18.2,0.1,0.1,16.0,62461.51,4.2,17.0
United Kingdom,0.0,100.0,99.2,90.1,70.9,0.7,10.3,3.2,8.3,0.0,38.3,5.6,2.0,3.2,0.1,7.6,3.6,4.1,4.1,37520.68,7.9,85.3
United States,0.0,99.1,99.9,97.2,68.7,0.7,18.2,3.5,7.4,0.0,15.9,13.6,2.4,7.2,0.1,17.3,5.7,0.5,2.8,51385.49,9.7,102.5
Uruguay,5.0,98.9,95.5,89.9,67.9,0.7,18.0,1.4,4.9,0.2,3.3,2.1,2.7,1.2,-0.3,1.8,50.7,6.3,8.3,18868.84,7.2,57.9
Uzbekistan,7.7,87.3,100.0,68.4,61.5,0.7,9.8,9.2,-7.7,0.0,5.4,1.6,0.9,1.5,0.2,3.4,2.2,0.0,9.2,4802.92,10.9,8.6
Venezuela,5.0,92.7,93.0,87.8,64.9,0.7,64.3,6.3,-7.7,0.0,54.0,1.8,1.4,2.5,-0.1,6.3,10.2,0.0,22.7,18233.88,8.6,44.3
Vietnam,13.6,91.3,69.7,65.8,65.4,0.7,14.5,4.3,-3.4,0.2,13.9,9.3,0.8,0.3,-0.1,1.5,29.0,0.2,12.7,5003.44,2.6,48.5
Yemen,26.3,54.6,52.7,52.9,56.6,0.5,9.1,11.7,-7.6,0.0,0.0,168.6,0.6,0.3,0.0,0.9,1.3,0.2,-11.5,3717.98,17.8,47.3
Zambia,50.3,61.4,42.8,59.0,50.7,0.6,30.4,12.6,-2.2,0.0,45.8,1.5,0.7,0.6,0.0,0.1,93.0,0.0,3.5,3552.10,13.2,24.9
Zimbabwe,33.5,77.9,37.7,53.3,47.0,0.7,22.4,7.2,-9.3,-0.2,18.5,17.9,0.9,0.7,0.1,0.7,74.9,0.0,5.6,1885.15,5.5,56.7
