,Sufficient Food,Sufficient to Drink,Safe Sanitation,Education ,Healthy Life,Gender Equality,Income Distribution,Population Growth,Good Governance,"Biodiversity 
forest area","Biodiversity 
protect. area",Renewable Water Resources,Consumption,Energy Use,Energy Savings,Greenhouse Gases,Renewable Energy,Organic Farming,Genuine Savings,GDP,Employment,Public Debt
Turkmenistan,5.5,60.1,62.6,61.3,56.9,0.7,12.3,4.3,-8.7,0.0,2.2,112.5,1.5,3.9,-0.2,10.1,0.0,0.2,7.1,6545.63,11.1,3.3
Uganda,21.9,62.8,16.5,68.6,45.8,0.7,14.7,14.3,-3.7,-0.2,22.5,0.9,1.5,0.3,0.0,0.1,86.3,1.4,3.4,1330.94,2.5,31.7
Ukraine,0.0,97.3,95.0,89.2,60.2,0.7,6.4,-3.2,-3.7,0.0,3.8,7.2,1.2,3.0,-0.1,6.2,0.9,0.6,10.6,7530.14,8.6,14.3
United Arab Emirates,5.0,99.7,97.5,77.9,66.5,0.6,9.5,39.3,3.2,0.1,0.3,1804.8,2.7,10.5,0.0,24.8,0.1,0.1,15.5,85376.66,3.1,6.8
United Kingdom,0.0,100.0,99.2,92.5,69.6,0.7,11.7,2.2,9.0,0.1,36.5,3.3,2.2,3.7,0.0,8.8,1.8,3.5,5.0,34690.78,4.7,42.4
United States,0.0,98.9,99.8,93.6,67.7,0.7,18.2,3.7,7.8,0.0,15.6,15.6,3.2,7.9,0.0,19.3,4.5,0.5,6.0,46351.67,5.6,63.6
Uruguay,5.0,97.7,94.3,91.7,66.7,0.7,21.5,0.0,3.3,0.4,2.4,2.1,3.2,0.9,0.1,1.5,34.5,5.1,9.0,12438.27,7.6,75.7
Uzbekistan,14.7,88.0,96.0,75.7,60.3,0.7,9.8,4.8,-8.2,0.0,4.2,4.0,0.6,2.0,0.0,4.1,1.6,0.0,7.1,2943.42,11.0,21.3
Venezuela,11.7,91.8,90.3,74.7,64.8,0.7,41.0,7.3,-6.2,-0.1,54.0,1.3,1.4,2.1,0.0,5.5,13.1,0.0,16.2,15044.19,15.0,34.5
Vietnam,19.0,83.1,59.7,64.8,63.7,0.7,10.0,4.8,-3.4,0.3,9.0,9.3,0.7,0.2,0.0,1.0,39.4,0.1,7.3,3383.70,2.1,38.4
Yemen,30.6,57.2,45.7,54.8,54.7,0.5,9.1,12.0,-6.5,0.0,0.0,167.1,0.6,0.3,-0.2,0.9,1.4,0.2,-4.6,3745.40,14.2,40.8
Zambia,49.4,56.4,41.5,58.4,43.0,0.6,32.1,10.9,-2.8,0.0,43.0,1.5,0.7,0.6,0.0,0.2,90.3,0.0,3.5,2391.76,15.3,25.0
Zimbabwe,41.6,79.0,38.8,53.3,38.1,0.6,22.0,3.0,-8.9,-0.2,17.5,19.9,0.9,0.7,0.1,0.8,67.0,0.0,-0.8,1536.33,4.2,44.7
