,Sufficient Food,Sufficient to Drink,Safe Sanitation,Education ,Healthy Life,Gender Equality,Income Distribution,Population Growth,Good Governance,"Biodiversity 
forest area","Biodiversity 
protect. area",Renewable Water Resources,Consumption,Energy Use,Energy Savings,Greenhouse Gases,Renewable Energy,Organic Farming,Genuine Savings,GDP,Employment,Public Debt
Turkmenistan,5.0,60.4,62.7,61.3,59.1,0.7,12.7,4.9,-7.9,0.0,2.8,112.5,1.6,4.6,-0.2,11.5,0.0,0.2,10.0,9825.13,11.1,4.1
Uganda,25.3,69.3,17.5,67.3,49.6,0.7,15.3,14.4,-3.4,-0.3,24.6,1.6,1.3,0.3,0.0,0.1,85.1,1.5,3.3,1723.36,3.6,22.9
Ukraine,0.0,96.9,95.4,93.4,62.2,0.7,5.4,-2.2,-2.6,0.0,3.8,8.5,1.5,2.9,0.0,6.4,2.0,0.7,5.5,7712.06,6.4,40.6
United Arab Emirates,5.0,99.6,97.5,58.7,67.2,0.6,8.9,71.9,2.9,0.0,0.4,1867.0,2.0,8.6,0.2,21.2,0.1,0.1,15.9,56687.36,4.0,22.2
United Kingdom,0.0,100.0,99.2,88.0,70.5,0.7,10.1,3.1,8.5,0.0,37.4,5.7,2.2,3.4,0.1,8.2,2.6,4.2,3.3,35797.00,5.4,76.6
United States,0.0,99.0,99.9,95.7,68.5,0.7,22.1,3.8,7.8,0.0,15.8,14.4,2.7,7.5,0.0,18.1,5.1,0.6,1.9,48309.53,5.9,94.7
Uruguay,5.0,98.6,95.1,90.3,67.5,0.7,19.4,1.1,4.4,0.3,3.3,2.1,3.5,1.2,-0.4,2.2,33.4,6.3,7.1,16825.82,7.6,59.4
Uzbekistan,8.9,87.3,100.0,69.0,61.0,0.7,9.8,6.1,-7.6,0.0,5.4,1.6,0.8,1.8,0.1,4.0,2.0,0.0,10.0,4115.58,11.0,10.0
Venezuela,5.0,92.4,92.1,87.5,64.8,0.7,64.3,6.7,-7.3,0.0,54.0,1.8,1.7,2.3,-0.1,6.0,12.7,0.0,20.6,16434.95,6.9,34.6
Vietnam,15.6,88.6,66.4,64.9,64.8,0.7,10.9,4.4,-3.3,0.2,13.7,9.3,0.8,0.2,0.0,1.2,34.9,0.1,5.6,4395.52,2.4,48.1
Yemen,27.3,54.3,52.0,52.5,56.1,0.5,9.1,11.9,-6.5,0.0,0.0,168.6,0.5,0.3,-0.1,1.0,1.3,0.2,-11.5,4245.90,15.0,42.4
Zambia,53.1,59.8,42.4,59.1,50.0,0.6,31.4,12.2,-1.8,0.0,45.8,1.5,0.7,0.6,0.0,0.1,92.6,0.0,3.5,3195.86,15.6,18.9
Zimbabwe,36.0,78.2,38.1,53.3,42.8,0.7,22.4,5.7,-9.4,-0.2,17.5,17.9,0.9,0.7,0.0,0.6,75.8,0.0,-0.7,1541.09,5.7,63.2
